program_name,Term...2,Location,Terms of Availability,Department,Course Number,Course ID,Short Name,Unit,Term,program_cost,pocket_cost,above_tuition_cost,cost_comp
Global Semester,FA,Global,Spring,OFFC,255,1445,Global,11611,S,"$6,225","$1,300","$7,525","$1,300"
Cameroon: Middlebury in Yaoundé I,FA,Africa,Fall,OFFC,199,37173,Middlebury in Cameroon,12057,FA,"$5,529","$3,635","$9,164","$2,939"
Cameroon: Middlebury in Yaoundé II,IS,Africa,Spring with Interim,OFFC,199,37173,Middlebury in Cameroon,12057,IS,"$5,529","$3,745","$9,274","$3,049"
Ghana: CIEE I,FA,Africa,Fall,OFFC,256,1446,Ghana,11970,FA,"$4,244","$5,055","$9,299","$3,074"
Ghana: CIEE II,IS,Africa,Spring with Interim,OFFC,256,1446,Ghana,11970,IS,"$4,244","$5,055","$9,299","$3,074"
Kenya: SIT I,FA,Africa,Fall,OFFC,272,36012,Kenya: Global Health & Human Rights,12055,F,"$4,744","$4,015","$8,759","$2,534"
Kenya: SIT II,SP,Africa,Spring,OFFC,272,36012,Kenya: Global Health & Human Rights,12055,SP,"$4,744","$4,015","$8,759","$2,534"
Namibia CGEE I,FA,Africa,Fall,OFFC,198,1420,Namibia,11971,FA,"$3,875","$3,075","$6,950",$725
Namibia CGEE II,IS,Africa,Spring with Interim,OFFC,198,1420,Namibia,11971,IS,"$3,875","$3,075","$6,950",$725
South Africa: Arts & Science CIEE I,FA,Africa,Fall,OFFC,165,22881,S Afr: Arts & Sci,11895,FA,"$5,959","$5,800","$11,759","$5,534"
South Africa: Arts & Science CIEE II,IS,Africa,Spring with Interim,OFFC,165,22881,S Afr: Arts & Sci,11895,IS,"$5,959","$5,800","$11,759","$5,534"
USA: Chicago Semester: Student Teaching I,FA,N America,Fall,OFFC,355,31508,US: Chicago Semster Student Teach,12031,FA,"$4,125","$1,350","$5,475",-$750
USA: Chicago Semester: Student Teaching II,IS,N America,Spring with Interim,OFFC,355,31508,US: Chicago Semster Student Teach,12031,IS,"$4,125","$1,350","$5,475",-$750
USA: Chicago Newberry Library ACM - canceled for 22/23,FA,N America,Fall,OFFC,209,19024,US Chicago: Newberry ACM,11670,FA,"$5,150","$1,650","$6,800",$575
USA: National Theater Institute I,FA,N America,Fall,OFFC,385,1469,US: National Theater Inst,11889,FA,"$9,400",$750,"$10,150","$3,925"
USA: National Theater Institute II,IS,N America,Spring with Interim,OFFC,385,1469,US: National Theater Inst,11899,IS,"$9,400",$750,"$10,150","$3,925"
USA: Oregon Extension,FA,N America,Fall,OFFC,244,1438,US: Oregon Extension,11994,FA,"$4,120","$1,750","$5,870",-$355
USA: Washington DC Sem I,FA,N America,Fall,OFFC,288,1461,US: Washington DC Sem,11995,FA,"$1,200","$9,900","$11,100","$4,875"
USA: Washington DC Sem II,IS,N America,Spring with Interim,OFFC,288,1461,US: Washington DC Sem,11995,IS,"$1,200","$10,200","$11,400","$5,175"
Argentina: IES Buenos Aires (Adv Spanish) I,FA,S America,Fall,OFFC,231,30316,Argentina: Adv Spanish Immersion,12000,FA,"$5,448","$4,315","$9,763","$3,538"
Argentina: IES Buenos Aires (Adv Spanish) II,SP,S America,Spring,OFFC,231,30316,Argentina: Adv Spanish Immersion,12000,SP,"$4,830","$4,215","$9,045","$2,820"
Argentina: IES Buenos Aires (Societies and Culture) I,FA,S America,Fall,OFFC,232,30317,Argentina: Latin Am Soc/Cultures,12000,FA,"$5,448","$4,315","$9,763","$3,538"
Argentina: IES Buenos Aires (Societies and Culture) II,SP,S America,Spring,OFFC,232,30317,Argentina: Latin Am Soc/Cultures,12000,SP,"$4,830","$4,215","$9,045","$2,820"
Central America: Augsburg CGEE I,FA,S America,Fall,OFFC,191,19704,Central America: CGE,12051,FA,"$4,045","$2,165","$6,210",-$15
Central America: Augsburg CGEE II,IS,S America,Spring with Interim,OFFC,191,19704,Central America: CGE,12051,IS,"$4,045","$2,165","$6,210",-$15
Ecuador: Andean Field Studies,FA,S America,Fall,OFFC,264,36011,Ecuador: Andean Field Studies,12056,FA,"$6,860","$2,415","$9,275","$3,050"
Mexico: Social Work,IS,S America,Spring with Interim,OFFC,271,1457,Mexico:Social Work CSC,11896,IS,"$3,875","$1,775","$5,650",-$575
China: Term in China - canceled for 22/23,FA,Asia,Fall,OFFC,247,1441,China: Term in China,11972,FA,"$1,200","$6,578","$7,778","$1,553"
India: In-Service Teach Woodstock,FA,Asia,Fall,OFFC,359,1447,India: Woodstock Teach,11962,FA,"$2,200","$2,715","$4,915","-$1,310"
India: In-Service Teach Kodaikanal,FA,Asia,Fall,OFFC,373,19090,India: Kodaikanal Teach,11962,FA,"$2,050","$3,015","$5,065","-$1,160"
India: In-Service Teach Mumbai,FA,Asia,Fall,OFFC,365,31506,India: Mumbai Teach,11962,FA,"$2,050","$2,775","$4,825","-$1,400"
Japan: Waseda ACM I,FI,Asia,Fall with Interim,OFFC,275,19822,Japan: Waseda ACM,11670,FI,"$6,530","$3,635","$10,165","$3,940"
Japan: Waseda ACM II,SP,Asia,Spring,OFFC,275,19822,Japan: Waseda ACM,11670,SP,"$6,530","$3,635","$10,165","$3,940"
Japan: Nagoya University I,FI,Asia,Fall with Interim,OFFC,222,18999,Japan: Nagoya Univ,10813,FI,"$1,200","$5,585","$6,785",$560
Japan: Nagoya University II,SP,Asia,Spring,OFFC,222,18999,Japan: Nagoya Univ,10813,SP,"$1,200","$5,585","$6,785",$560
Japan: Hokusei Gakuen I,FA,Asia,Fall,OFFC,196,28084,Japan: Hokusei Gakuen,12018,FA,"$3,550","$3,985","$7,535","$1,310"
Korea: Yonsei University I,FA,Asia,Fall,OFFC,226,1423,Korea: Yonsei Univ,10816,FA,"$1,200","$7,955","$9,155","$2,930"
Korea: Yonsei University II,SP,Asia,Spring,OFFC,226,1423,Korea: Yonsei Univ,10816,SP,"$1,200","$7,955","$9,155","$2,930"
Taiwan: Term in Taiwan,FA,Asia,Fall,OFFC,258,33405,Tawain: Term in Taiwan,12039,FA,"$3,200","$6,925","$10,125","$3,900"
Taiwan: Term in Taiwan,FI,Asia,Fall,OFFC,258,33405,Tawain: Term in Taiwan,12039,FI,"$3,200","$6,925","$10,125","$3,900"
Taiwan: Term in Taiwan,SP,Asia,Spring,OFFC,258,33405,Tawain: Term in Taiwan,12039,SP,"$3,200","$6,825","$10,025","$3,800"
Australia: Curtin I,FA,Australia,Fall,OFFC,230,2488,Australia: Curtin,11973,FA,"$4,395","$6,870","$11,265","$5,040"
Australia: Curtin II,SP,Australia,Spring,OFFC,230,2488,Australia: Curtin,11973,SP,"$4,395","$6,870","$11,265","$5,040"
Australia: CAPA UTS I,FA,Australia,Fall,OFFC,227,32313,"Australia: Univ of Technol, Sydney",12028,FA,"$1,200","$11,565","$12,765","$6,540"
Australia: CAPA UTS II,SP,Australia,Spring,OFFC,227,32313,"Australia: Univ of Technol, Sydney",12028,SP,"$1,200","$11,565","$12,765","$6,540"
Australia: Global Cities Internship I,FA,Australia,Fall,OFFC,223,32319,Australia: Global Cities Internship,12029,FA,"$1,200","$11,045","$12,245","$6,020"
